state,county,total_Eligible,total_Other,"total_Ineligible, Ownership Not Verified",percent_Eligible,percent_Other,"percent_Ineligible, Ownership Not Verified"
MI,Leelanau (County),,1,,,100,
MI,Lenawee (County),,30,,,100,
MI,Livingston (County),,21,,,100,
MI,Luce (County),,1,,,100,
MI,Mackinac (County),,2,,,100,
MI,Macomb (County),1304,10202,108,11.2,87.8,0.9
MI,Manistee (County),,7,,,100,
MI,Marquette (County),,35,,,100,
MI,Mason (County),,8,,,100,
MI,Mecosta (County),,6,,,100,
MI,Menominee (County),,4,,,100,
MI,Midland (County),1121,2160,47,33.7,64.9,1.4
MI,Missaukee (County),,6,,,100,
MI,Monroe (County),,44,,,100,
MI,Montcalm (County),,17,,,100,
MI,Montmorency (County),,2,,,100,
MI,Muskegon (County),,64,,,100,
MI,Newaygo (County),,12,,,100,
MI,Oakland (County),2110,17793,167,10.5,88.7,0.8
MI,Oceana (County),,1,,,100,
MI,Ogemaw (County),,7,,,100,
MI,Ontonagon (County),,6,,,100,
MI,Osceola (County),,2,,,100,
MI,Oscoda (County),,2,,,100,
MI,Otsego (County),,6,,,100,
MI,Ottawa (County),,66,,,100,
MI,Presque Isle (County),,1,,,100,
MI,Saginaw (County),563,1354,66,28.4,68.3,3.3
MI,Sanilac (County),,24,,,100,
MI,Schoolcraft (County),,2,,,100,
MI,Shiawassee (County),,21,,,100,
MI,St. Clair (County),,144,,,100,
MI,St. Joseph (County),,12,,,100,
MI,Tuscola (County),,14,,,100,
MI,Van Buren (County),,16,,,100,
MI,Washtenaw (County),,188,,,100,
MI,Wayne (County),19588,78043,2215,19.6,78.2,2.2
MI,Wexford (County),,15,,,100,
MN,Aitkin (County),,10,,,100,
MN,Anoka (County),,89,,,100,
MN,Becker (County),,8,,,100,
MN,Beltrami (County),,22,,,100,
MN,Benton (County),,11,,,100,
MN,Big Stone (County),,3,,,100,
MN,Blue Earth (County),25,161,4,13.2,84.7,2.1
MN,Brown (County),,12,,,100,
MN,Carlton (County),,5,,,100,
MN,Carver (County),,8,,,100,
MN,Cass (County),,3,,,100,
MN,Chippewa (County),,8,,,100,
MN,Chisago (County),,10,,,100,
MN,Clay (County),,14,,,100,
MN,Clearwater (County),,1,,,100,
MN,Cottonwood (County),,5,,,100,
MN,Crow Wing (County),,17,,,100,
MN,Dakota (County),,45,,,100,
MN,Dodge (County),,1,,,100,
MN,Douglas (County),,6,,,100,
MN,Faribault (County),,1,,,100,
MN,Freeborn (County),32,214,2,12.9,86.3,0.8
MN,Goodhue (County),,11,,,100,
MN,Grant (County),,1,,,100,
MN,Hennepin (County),9,513,,1.7,98.3,
MN,Houston (County),,2,,,100,
MN,Hubbard (County),,4,,,100,
MN,Isanti (County),,5,,,100,
MN,Itasca (County),,5,,,100,
MN,Jackson (County),,4,,,100,
MN,Kanabec (County),,1,,,100,
MN,Kandiyohi (County),,20,,,100,
MN,Kittson (County),,3,,,100,
MN,Koochiching (County),,3,,,100,
MN,Lac qui Parle (County),,7,,,100,
MN,Lake (County),,1,,,100,
MN,Le Sueur (County),2,47,,4.1,95.9,
MN,Lincoln (County),,1,,,100,
MN,Lyon (County),,9,,,100,
MN,Mahnomen (County),,4,,,100,
MN,Marshall (County),,3,,,100,
MN,Martin (County),,7,,,100,
MN,McLeod (County),,6,,,100,
MN,Meeker (County),,4,,,100,
MN,Mille Lacs (County),,13,,,100,
MN,Morrison (County),,14,,,100,
MN,Mower (County),,9,,,100,
MN,Murray (County),,1,,,100,
MN,Nicollet (County),,7,,,100,
MN,Nobles (County),,9,,,100,
MN,Norman (County),,3,,,100,
MN,Olmsted (County),,50,,,100,
MN,Otter Tail (County),,12,,,100,
MN,Pennington (County),,2,,,100,
MN,Pine (County),,2,,,100,
MN,Pipestone (County),,2,,,100,
MN,Polk (County),,15,,,100,
MN,Pope (County),,3,,,100,
MN,Ramsey (County),,304,,,100,
MN,Redwood (County),,7,,,100,
MN,Renville (County),,14,,,100,
MN,Rice (County),,28,,,100,
MN,Rock (County),,5,,,100,
MN,Roseau (County),,6,,,100,
MN,Scott (County),,22,,,100,
MN,Sherburne (County),,9,,,100,
MN,Sibley (County),,5,,,100,
MN,St. Louis (County),,68,,,100,
MN,Stearns (County),,111,,,100,
MN,Steele (County),4,79,,4.8,95.2,
MN,Swift (County),,4,,,100,
MN,Todd (County),,4,,,100,
MN,Wabasha (County),,3,,,100,
MN,Wadena (County),,3,,,100,
MN,Waseca (County),96,631,9,13,85.7,1.2
MN,Washington (County),,50,,,100,
MN,Watonwan (County),,4,,,100,
MN,Wilkin (County),,3,,,100,
MN,Winona (County),,9,,,100,
MN,Wright (County),,13,,,100,
MN,Yellow Medicine (County),,7,,,100,
MO,Adair (County),,8,,,100,
MO,Andrew (County),51,154,12,23.5,71,5.5
MO,Atchison (County),73,174,2,29.3,69.9,0.8
MO,Audrain (County),,3,,,100,
MO,Barry (County),16,69,2,18.4,79.3,2.3
MO,Barton (County),1,14,2,5.9,82.4,11.8
MO,Bates (County),,9,,,100,
MO,Benton (County),,5,,,100,
MO,Bollinger (County),28,57,1,32.6,66.3,1.2
MO,Boone (County),7,112,1,5.8,93.3,0.8
MO,Buchanan (County),142,225,8,37.9,60,2.1
MO,Butler (County),303,649,27,30.9,66.3,2.8
MO,Callaway (County),9,21,2,28.1,65.6,6.2
MO,Camden (County),16,122,1,11.5,87.8,0.7
MO,Cape Girardeau (County),56,343,4,13.9,85.1,1
MO,Carroll (County),25,59,6,27.8,65.6,6.7
MO,Carter (County),120,184,18,37.3,57.1,5.6
MO,Cass (County),,12,,,100,
MO,Cedar (County),,4,,,100,
MO,Chariton (County),29,58,7,30.9,61.7,7.4
MO,Christian (County),2,37,,5.1,94.9,
MO,Clark (County),,4,,,100,
MO,Clay (County),,117,,,100,
MO,Clinton (County),,16,,,100,
MO,Cole (County),107,494,11,17.5,80.7,1.8
MO,Cooper (County),,4,,,100,
MO,Crawford (County),9,38,1,18.8,79.2,2.1
MO,Dade (County),,5,,,100,
MO,Dallas (County),,8,,,100,
MO,Daviess (County),,3,,,100,
MO,Dent (County),2,13,,13.3,86.7,
MO,Douglas (County),13,48,12,17.8,65.8,16.4
MO,Dunklin (County),22,64,7,23.7,68.8,7.5
MO,Franklin (County),231,327,17,40.2,56.9,3
MO,Gasconade (County),38,79,7,30.6,63.7,5.6
MO,Gentry (County),,2,,,100,
MO,Greene (County),63,1018,30,5.7,91.6,2.7
MO,Grundy (County),,6,,,100,
MO,Henry (County),,8,,,100,
MO,Hickory (County),,19,4,,82.6,17.4
MO,Holt (County),207,377,18,34.4,62.6,3
MO,Howard (County),,1,,,100,
MO,Howell (County),99,474,25,16.6,79.3,4.2
MO,Iron (County),,24,3,,88.9,11.1
MO,Jackson (County),30,496,4,5.7,93.6,0.8
MO,Jasper (County),2438,7949,68,23.3,76,0.7
MO,Jefferson (County),493,676,37,40.9,56.1,3.1
MO,Johnson (County),,17,,,100,
MO,Laclede (County),4,54,1,6.8,91.5,1.7
MO,Lafayette (County),8,24,1,24.2,72.7,3
MO,Lawrence (County),16,62,6,19,73.8,7.1
MO,Lewis (County),8,12,,40,60,
MO,Lincoln (County),79,127,13,36.1,58,5.9
MO,Linn (County),,3,,,100,
MO,Livingston (County),9,23,2,26.5,67.6,5.9
MO,Macon (County),,3,,,100,
MO,Madison (County),8,44,2,14.8,81.5,3.7
MO,Maries (County),14,30,,31.8,68.2,
MO,Marion (County),,30,,,100,
MO,McDonald (County),155,299,28,32.2,62,5.8
MO,Mercer (County),,2,,,100,
MO,Miller (County),39,119,3,24.2,73.9,1.9
MO,Mississippi (County),136,268,8,33,65,1.9
MO,Moniteau (County),,4,,,100,
MO,Monroe (County),,6,,,100,
MO,Morgan (County),3,44,,6.4,93.6,
MO,New Madrid (County),255,309,14,44.1,53.5,2.4
MO,Newton (County),271,954,28,21.6,76.1,2.2
MO,Nodaway (County),,2,,,100,
MO,Oregon (County),17,33,6,30.4,58.9,10.7
MO,Osage (County),16,44,5,24.6,67.7,7.7
MO,Ozark (County),30,97,9,22.1,71.3,6.6
MO,Pemiscot (County),29,138,10,16.4,78,5.6
MO,Perry (County),,7,,,100,
MO,Pettis (County),46,141,4,24.1,73.8,2.1
MO,Phelps (County),35,109,3,23.8,74.1,2
MO,Pike (County),35,57,3,36.8,60,3.2
MO,Platte (County),23,65,1,25.8,73,1.1
MO,Polk (County),3,51,2,5.4,91.1,3.6
MO,Pulaski (County),61,139,7,29.5,67.1,3.4
MO,Putnam (County),,2,,,100,
MO,Randolph (County),,3,,,100,
MO,Ray (County),,5,,,100,
MO,Reynolds (County),23,89,3,20,77.4,2.6
MO,Ripley (County),78,206,18,25.8,68.2,6
MO,Saline (County),4,8,,33.3,66.7,
MO,Schuyler (County),,1,,,100,
MO,Scotland (County),,3,,,100,
MO,Scott (County),73,324,9,18,79.8,2.2
MO,Shannon (County),24,55,7,27.9,64,8.1
MO,Shelby (County),,1,,,100,
MO,St. Charles (County),327,682,27,31.6,65.8,2.6
MO,St. Clair (County),,4,,,100,
MO,St. Francois (County),5,70,1,6.6,92.1,1.3
MO,St. Louis,,255,,,100,
MO,St. Louis (County),521,3753,61,12,86.6,1.4
MO,Ste. Genevieve (County),7,22,,24.1,75.9,
MO,Stoddard (County),73,143,3,33.3,65.3,1.4
MO,Stone (County),32,136,7,18.3,77.7,4
MO,Sullivan (County),,3,,,100,
MO,Taney (County),160,366,30,28.8,65.8,5.4
MO,Texas (County),19,88,3,17.3,80,2.7
MO,Vernon (County),,13,,,100,
MO,Warren (County),,2,,,100,
MO,Washington (County),,6,,,100,
MO,Wayne (County),41,176,10,18.1,77.5,4.4
MO,Webster (County),6,43,1,12,86,2
MO,Worth (County),,1,,,100,
MO,Wright (County),2,47,5,3.7,87,9.3
MS,Adams (County),47,474,39,8.4,84.6,7
MS,Alcorn (County),90,322,2,21.7,77.8,0.5
MS,Amite (County),36,461,27,6.9,88,5.2
MS,Attala (County),39,220,7,14.7,82.7,2.6
MS,Benton (County),44,187,19,17.6,74.8,7.6
MS,Bolivar (County),201,734,80,19.8,72.3,7.9
MS,Calhoun (County),,6,,,100,
MS,Carroll (County),,5,,,100,
MS,Chickasaw (County),84,489,10,14.4,83.9,1.7
MS,Choctaw (County),66,327,13,16.3,80.5,3.2
MS,Claiborne (County),9,125,7,6.4,88.7,5
MS,Clarke (County),164,501,52,22.9,69.9,7.3
MS,Clay (County),76,365,4,17.1,82,0.9
MS,Coahoma (County),242,1278,64,15.3,80.7,4
MS,Copiah (County),9,228,22,3.5,88,8.5
MS,Covington (County),151,385,108,23.4,59.8,16.8
MS,DeSoto (County),13,319,1,3.9,95.8,0.3
MS,Forrest (County),746,3778,142,16,81,3
MS,Franklin (County),13,167,20,6.5,83.5,10
MS,George (County),306,1008,228,19.8,65.4,14.8
MS,Greene (County),247,456,138,29.4,54.2,16.4
MS,Grenada (County),22,152,10,12,82.6,5.4
MS,Hancock (County),484,3038,197,13,81.7,5.3
MS,Harrison (County),2114,12823,628,13.6,82.4,4
MS,Hinds (County),99,1715,21,5.4,93.5,1.1
MS,Holmes (County),137,525,22,20,76.8,3.2
MS,Humphreys (County),48,285,10,14,83.1,2.9
MS,Issaquena (County),31,127,5,19,77.9,3.1
MS,Itawamba (County),33,101,3,24.1,73.7,2.2
MS,Jackson (County),1452,6826,266,17,79.9,3.1
MS,Jasper (County),73,199,29,24.3,66.1,9.6
MS,Jefferson (County),26,232,35,8.9,79.2,11.9
MS,Jefferson Davis (County),200,442,99,27,59.6,13.4
MS,Jones (County),238,953,78,18.8,75.1,6.1
MS,Kemper (County),39,277,23,11.5,81.7,6.8
MS,Lafayette (County),29,322,9,8.1,89.4,2.5
MS,Lamar (County),160,872,19,15.2,83,1.8
MS,Lauderdale (County),9,227,4,3.8,94.6,1.7
MS,Lawrence (County),17,56,15,19.3,63.6,17
MS,Leake (County),6,29,1,16.7,80.6,2.8
MS,Lee (County),131,1510,21,7.9,90.9,1.3
MS,Leflore (County),5,101,2,4.6,93.5,1.9
MS,Lincoln (County),76,963,63,6.9,87.4,5.7
MS,Lowndes (County),122,1385,54,7.8,88.7,3.5
MS,Madison (County),6,121,4,4.6,92.4,3.1
MS,Marion (County),205,1107,127,14.2,76.9,8.8
MS,Marshall (County),70,335,20,16.5,78.8,4.7
MS,Mississippi Choctaw Indian Reservation,,2,,,100,
MS,Monroe (County),177,728,23,19.1,78.4,2.5
MS,Montgomery (County),7,110,2,5.9,92.4,1.7
MS,Neshoba (County),14,157,7,7.9,88.2,3.9
MS,Newton (County),12,85,3,12,85,3
MS,Noxubee (County),,6,,,100,
MS,Oktibbeha (County),9,110,5,7.3,88.7,4
MS,Panola (County),116,631,68,14.2,77.4,8.3
MS,Pearl River (County),393,2007,95,15.8,80.4,3.8
MS,Perry (County),92,176,46,29.3,56.1,14.6
MS,Pike (County),212,2084,137,8.7,85.7,5.6
MS,Pontotoc (County),,7,,,100,
MS,Prentiss (County),1,16,,5.9,94.1,
MS,Quitman (County),108,679,50,12.9,81.1,6
MS,Rankin (County),60,503,23,10.2,85.8,3.9
MS,Scott (County),,14,,,100,
MS,Sharkey (County),23,319,1,6.7,93,0.3
MS,Simpson (County),4,53,2,6.8,89.8,3.4
MS,Smith (County),13,52,1,19.7,78.8,1.5
MS,Stone (County),248,780,111,21.8,68.5,9.7
MS,Sunflower (County),23,182,22,10.1,80.2,9.7
MS,Tallahatchie (County),19,253,24,6.4,85.5,8.1
MS,Tate (County),,5,,,100,
MS,Tippah (County),35,220,3,13.6,85.3,1.2
MS,Tishomingo (County),21,141,,13,87,
MS,Tunica (County),234,665,34,25.1,71.3,3.6
MS,Union (County),,45,,,100,
MS,Walthall (County),215,1074,105,15.4,77,7.5
MS,Warren (County),303,1226,38,19.3,78.2,2.4
MS,Washington (County),269,1199,157,16.6,73.8,9.7
MS,Wayne (County),76,541,84,10.8,77.2,12
MS,Webster (County),60,313,6,15.8,82.6,1.6
MS,Wilkinson (County),74,408,31,14.4,79.5,6
MS,Winston (County),196,1127,24,14.6,83.7,1.8
MS,Yalobusha (County),,3,,,100,
MS,Yazoo (County),250,975,18,20.1,78.4,1.4
MT,Beaverhead (County),,1,,,100,
MT,Big Horn (County),120,211,45,31.9,56.1,12
MT,Blackfeet Indian Reservation,67,285,16,18.2,77.4,4.3
MT,Blaine (County),26,174,12,12.3,82.1,5.7
MT,Broadwater (County),5,10,,33.3,66.7,
MT,Carbon (County),27,117,6,18,78,4
MT,Carter (County),6,31,2,15.4,79.5,5.1
MT,Cascade (County),26,139,2,15.6,83.2,1.2
MT,Chouteau (County),2,10,1,15.4,76.9,7.7
MT,Custer (County),11,90,,10.9,89.1,
MT,Daniels (County),,2,,,100,
MT,Dawson (County),,4,,,100,
MT,Fallon (County),7,59,1,10.4,88.1,1.5
MT,Fergus (County),56,174,8,23.5,73.1,3.4
MT,Flathead (County),8,36,,18.2,81.8,
MT,Fort Belknap Indian Reservation,27,50,1,34.6,64.1,1.3
MT,Fort Peck Indian Reservation,7,30,2,17.9,76.9,5.1
MT,Gallatin (County),,11,,,100,
MT,Garfield (County),3,7,,30,70,
MT,Golden Valley (County),3,45,,6.2,93.8,
MT,Hill (County),13,138,2,8.5,90.2,1.3
MT,Jefferson (County),,15,,,100,
MT,Judith Basin (County),8,22,2,25,68.8,6.2
MT,Lake (County),,2,,,100,
MT,Lewis and Clark (County),25,175,3,12.3,86.2,1.5
MT,Lincoln (County),,5,,,100,
MT,Madison (County),1,9,,10,90,
MT,McCone (County),,1,,,100,
MT,Missoula (County),11,109,1,9.1,90.1,0.8
MT,Musselshell (County),75,137,3,34.9,63.7,1.4
MT,Park (County),3,30,,9.1,90.9,
MT,Petroleum (County),1,9,,10,90,
MT,Phillips (County),2,51,2,3.6,92.7,3.6
MT,Pondera (County),7,63,3,9.6,86.3,4.1
MT,Powder River (County),,3,,,100,
MT,Powell (County),3,10,1,21.4,71.4,7.1
MT,Prairie (County),,1,,,100,
MT,Ravalli (County),,5,,,100,
MT,Roosevelt (County),,4,,,100,
MT,Rosebud (County),22,138,2,13.6,85.2,1.2
MT,Sanders (County),,2,,,100,
MT,Sheridan (County),,1,,,100,
MT,Silver Bow (County),,20,,,100,
MT,Sweet Grass (County),2,30,,6.2,93.8,
MT,Toole (County),1,10,,9.1,90.9,
MT,Valley (County),57,295,2,16.1,83.3,0.6
MT,Wheatland (County),,1,,,100,
MT,Wibaux (County),,23,1,,95.8,4.2
MT,Yellowstone (County),25,264,4,8.5,90.1,1.4
NC,Alamance (County),4,79,1,4.8,94,1.2
NC,Alexander (County),,3,,,100,
NC,Anson (County),17,424,60,3.4,84.6,12
NC,Ashe (County),,16,,,100,
NC,Avery (County),,2,,,100,
NC,Beaufort (County),959,5015,231,15.5,80.8,3.7
NC,Bertie (County),509,2050,153,18.8,75.6,5.6
NC,Bladen (County),867,5287,467,13.1,79.9,7.1
NC,Brunswick (County),1037,10213,542,8.8,86.6,4.6
NC,Buncombe (County),,143,,,100,
NC,Burke (County),,31,,,100,
NC,Cabarrus (County),,129,,,100,
NC,Caldwell (County),,47,,,100,
NC,Camden (County),41,233,14,14.2,80.9,4.9
NC,Carteret (County),1424,8532,303,13.9,83.2,3
NC,Caswell (County),,7,,,100,
NC,Catawba (County),,106,,,100,
NC,Chatham (County),16,133,6,10.3,85.8,3.9
NC,Cherokee (County),,2,,,100,
NC,Chowan (County),51,361,23,11.7,83,5.3
NC,Clay (County),,5,,,100,
NC,Cleveland (County),,99,,,100,
NC,Columbus (County),1462,9416,658,12.7,81.6,5.7
NC,Craven (County),2905,12016,434,18.9,78.3,2.8
NC,Cumberland (County),1902,25083,668,6.9,90.7,2.4
NC,Currituck (County),78,624,29,10.7,85.4,4
NC,Dare (County),575,3436,64,14.1,84.3,1.6
NC,Davidson (County),,50,,,100,
NC,Davie (County),,2,,,100,
NC,Duplin (County),1278,4605,423,20.3,73,6.7
NC,Durham (County),33,381,3,7.9,91.4,0.7
NC,Edgecombe (County),771,3415,123,17.9,79.3,2.9
NC,Forsyth (County),,321,,,100,
NC,Franklin (County),,8,,,100,
NC,Gaston (County),,116,,,100,
NC,Gates (County),53,265,18,15.8,78.9,5.4
NC,Graham (County),,2,,,100,
NC,Granville (County),,17,,,100,
NC,Greene (County),181,1446,65,10.7,85.5,3.8
NC,Guilford (County),136,2065,16,6.1,93.1,0.7
NC,Halifax (County),377,2830,154,11.2,84.2,4.6
NC,Harnett (County),321,3719,196,7.6,87.8,4.6
NC,Haywood (County),,21,,,100,
NC,Henderson (County),,48,,,100,
NC,Hertford (County),306,1381,91,17.2,77.7,5.1
NC,Hoke (County),182,3164,203,5.1,89.2,5.7
NC,Hyde (County),153,978,52,12.9,82.7,4.4
NC,Iredell (County),,75,,,100,
NC,Jackson (County),,9,,,100,
NC,Johnston (County),268,2648,84,8.9,88.3,2.8
NC,Jones (County),548,1881,139,21.3,73.2,5.4
NC,Lee (County),120,1000,23,10.5,87.5,2
NC,Lenoir (County),796,5693,266,11.8,84.3,3.9
NC,Lincoln (County),,22,,,100,
NC,Macon (County),,8,,,100,
NC,Madison (County),,1,,,100,
NC,Martin (County),98,903,51,9.3,85.8,4.8
NC,McDowell (County),,7,,,100,
NC,Mecklenburg (County),,549,,,100,
NC,Mitchell (County),,11,,,100,
NC,Montgomery (County),,10,,,100,
NC,Moore (County),131,1128,76,9.8,84.5,5.7
NC,Nash (County),215,1429,53,12.7,84.2,3.1
NC,New Hanover (County),2313,19340,263,10.6,88.2,1.2
NC,Northampton (County),160,1202,73,11.1,83.8,5.1
NC,Onslow (County),2227,19827,453,9.9,88.1,2
NC,Orange (County),42,217,,16.2,83.8,
NC,Pamlico (County),749,2708,118,21,75.7,3.3
NC,Pasquotank (County),60,684,42,7.6,87,5.3
NC,Pender (County),1838,7359,309,19.3,77.4,3.3
NC,Perquimans (County),23,247,17,8,86.1,5.9
NC,Person (County),,17,,,100,
NC,Pitt (County),552,6238,231,7.9,88.8,3.3
NC,Polk (County),,2,,,100,
NC,Randolph (County),,38,,,100,
NC,Richmond (County),58,1241,96,4.2,89,6.9
NC,Robeson (County),3708,26149,2011,11.6,82.1,6.3
NC,Rockingham (County),7,130,,5.1,94.9,
NC,Rowan (County),,78,,,100,
NC,Rutherford (County),,54,,,100,
NC,Sampson (County),514,4508,303,9.7,84.7,5.7
NC,Scotland (County),362,2610,219,11.3,81.8,6.9
NC,Stanly (County),,22,,,100,
NC,Statewide,,1,,,100,
NC,Stokes (County),,11,,,100,
NC,Surry (County),,40,,,100,
NC,Swain (County),,1,,,100,
NC,Transylvania (County),,5,,,100,
NC,Tyrrell (County),174,868,46,16,79.8,4.2
NC,Union (County),8,242,3,3.2,95.7,1.2
NC,Vance (County),1,68,3,1.4,94.4,4.2
NC,Wake (County),319,3260,38,8.8,90.1,1.1
NC,Warren (County),10,61,2,13.7,83.6,2.7
NC,Washington (County),190,1144,65,13.6,81.8,4.6
NC,Watauga (County),,21,,,100,
NC,Wayne (County),909,9171,333,8.7,88.1,3.2
NC,Wilkes (County),,23,,,100,
NC,Wilson (County),124,1366,40,8.1,89.3,2.6
NC,Yadkin (County),,2,,,100,
NC,Yancey (County),,3,,,100,
ND,Adams (County),,4,,,100,
ND,Barnes (County),18,105,,14.6,85.4,
ND,Benson (County),17,70,1,19.3,79.5,1.1
ND,Bottineau (County),,3,,,100,
ND,Bowman (County),,1,,,100,
ND,Burleigh (County),532,640,3,45.3,54.5,0.3
ND,Cass (County),,187,,,100,
ND,Cavalier (County),,1,,,100,
ND,Dickey (County),,11,,,100,
ND,Eddy (County),,1,,,100,
ND,Emmons (County),,5,,,100,
ND,Foster (County),,1,,,100,
ND,Grand Forks (County),,43,,,100,
ND,Grant (County),,1,,,100,
ND,Griggs (County),,1,,,100,
ND,Hettinger (County),,3,,,100,
ND,Kidder (County),,1,,,100,
ND,LaMoure (County),,3,,,100,
ND,McHenry (County),60,334,4,15.1,83.9,1
ND,McIntosh (County),,1,,,100,
ND,McKenzie (County),,1,,,100,
ND,McLean (County),,6,,,100,
ND,Morton (County),106,292,3,26.4,72.8,0.7
ND,Nelson (County),,3,,,100,
ND,Pembina (County),,6,,,100,
ND,Pierce (County),,9,,,100,
ND,Ramsey (County),29,105,,21.6,78.4,
ND,Ransom (County),,6,,,100,
ND,Renville (County),25,104,3,18.9,78.8,2.3
ND,Richland (County),11,64,,14.7,85.3,
ND,Rolette (County),,3,,,100,
ND,Sargent (County),,1,,,100,
ND,Sheridan (County),,1,,,100,
ND,Spirit Lake Reservation,10,18,,35.7,64.3,
ND,Stark (County),,11,,,100,
ND,Steele (County),,1,,,100,
ND,Stutsman (County),,17,,,100,
ND,Towner (County),,4,,,100,
ND,Traill (County),,5,,,100,
ND,Walsh (County),,2,,,100,
ND,Ward (County),1580,5967,232,20.3,76.7,3
ND,Wells (County),,3,,,100,
ND,Williams (County),,7,,,100,
NE,Adams (County),,14,,,100,
NE,Antelope (County),4,33,,10.8,89.2,
NE,Blaine (County),,1,,,100,
NE,Boone (County),27,51,2,33.8,63.7,2.5
NE,Box Butte (County),,3,,,100,
NE,Boyd (County),44,218,5,16.5,81.6,1.9
NE,Brown (County),,2,,,100,
NE,Buffalo (County),74,372,14,16.1,80.9,3
NE,Burt (County),64,140,4,30.8,67.3,1.9
NE,Butler (County),24,62,2,27.3,70.5,2.3
NE,Cass (County),102,211,7,31.9,65.9,2.2
NE,Cedar (County),,8,,,100,
NE,Cherry (County),,2,,,100,
NE,Cheyenne (County),,4,,,100,
NE,Clay (County),,2,,,100,
NE,Colfax (County),28,78,3,25.7,71.6,2.8
NE,Cuming (County),11,69,1,13.6,85.2,1.2
NE,Custer (County),17,180,8,8.3,87.8,3.9
NE,Dakota (County),33,125,2,20.6,78.1,1.2
NE,Dawes (County),,5,,,100,
NE,Dawson (County),31,331,13,8.3,88.3,3.5
NE,Deuel (County),,1,,,100,
NE,Dixon (County),4,20,2,15.4,76.9,7.7
NE,Dodge (County),594,721,36,44,53.4,2.7
NE,Douglas (County),330,1130,27,22.2,76,1.8
NE,Fillmore (County),,3,,,100,
NE,Frontier (County),,1,,,100,
NE,Furnas (County),,3,,,100,
NE,Gage (County),,8,,,100,
NE,Garden (County),,1,,,100,
NE,Garfield (County),,1,,,100,
NE,Greeley (County),,1,,,100,
NE,Hall (County),51,178,9,21.4,74.8,3.8
NE,Hamilton (County),,1,,,100,
NE,Harlan (County),,1,,,100,
NE,Holt (County),12,48,4,18.8,75,6.2
NE,Howard (County),33,88,6,26,69.3,4.7
NE,Johnson (County),,1,,,100,
NE,Kimball (County),,1,,,100,
NE,Knox (County),47,245,25,14.8,77.3,7.9
NE,Lancaster (County),,130,,,100,
NE,Lincoln (County),17,74,1,18.5,80.4,1.1
NE,Madison (County),39,146,5,20.5,76.8,2.6
NE,Merrick (County),,1,,,100,
NE,Morrill (County),,2,,,100,
NE,Nance (County),8,30,1,20.5,76.9,2.6
NE,Nemaha (County),15,34,1,30,68,2
NE,Nuckolls (County),,2,,,100,
NE,Pawnee (County),,1,,,100,
NE,Perkins (County),,3,,,100,
NE,Phelps (County),,1,,,100,
NE,Pierce (County),39,137,7,21.3,74.9,3.8
NE,Platte (County),29,87,2,24.6,73.7,1.7
NE,Polk (County),,1,,,100,
NE,Red Willow (County),,7,,,100,
NE,Richardson (County),13,33,1,27.7,70.2,2.1
NE,Rock (County),,1,,,100,
NE,Saline (County),1,15,,6.2,93.8,
NE,Santee Indian Reservation,1,2,1,25,50,25
NE,Sarpy (County),558,510,19,51.3,46.9,1.7
NE,Saunders (County),54,108,2,32.9,65.9,1.2
NE,Scotts Bluff (County),,33,,,100,
NE,Seward (County),,6,,,100,
NE,Sheridan (County),,4,,,100,
NE,Sherman (County),,1,,,100,
NE,Stanton (County),6,33,,15.4,84.6,
NE,Thurston (County),23,123,8,14.9,79.9,5.2
NE,Washington (County),117,160,4,41.6,56.9,1.4
NE,Wayne (County),,5,,,100,
NE,York (County),,2,,,100,
NH,Belknap (County),,19,,,100,
NH,Carroll (County),52,184,3,21.8,77,1.3
NH,Cheshire (County),,10,,,100,
NH,Coos (County),,6,,,100,
NH,Grafton (County),43,247,4,14.6,84,1.4
NH,"Hillsborough (County)(in (P)MSA 4560,4760,5350)",,159,,,100,
NH,Merrimack (County),,17,,,100,
NH,"Rockingham (County)(in (P)MSA 4160,4760,6450)",,57,,,100,
NH,Strafford (County),,17,,,100,
NH,Sullivan (County),,6,,,100,
NJ,Atlantic (County),3041,24796,161,10.9,88.6,0.6
NJ,Bergen (County),3174,20729,95,13.2,86.4,0.4
NJ,Burlington (County),321,4869,26,6.2,93.3,0.5
NJ,Camden (County),765,7618,69,9.1,90.1,0.8
NJ,Cape May (County),959,7467,76,11.3,87.8,0.9
NJ,Cumberland (County),445,3427,28,11.4,87.9,0.7
NJ,Essex (County),1667,34641,108,4.6,95.1,0.3
NJ,Gloucester (County),318,4047,18,7.3,92.3,0.4
NJ,Hudson (County),1586,30969,101,4.9,94.8,0.3
NJ,Hunterdon (County),183,2513,11,6.8,92.8,0.4
NJ,Mercer (County),538,6002,35,8.2,91.3,0.5
NJ,Middlesex (County),2116,26975,87,7.3,92.4,0.3
NJ,Monmouth (County),4453,37517,182,10.6,89,0.4
NJ,Morris (County),1730,10956,38,13.6,86.1,0.3
NJ,Ocean (County),7046,49485,487,12.4,86.8,0.9
NJ,Passaic (County),2353,15145,75,13.4,86.2,0.4
NJ,Salem (County),191,1124,8,14.4,85,0.6
NJ,Somerset (County),1213,9909,35,10.9,88.8,0.3
NJ,Sussex (County),432,4580,16,8.6,91.1,0.3
NJ,Union (County),1691,30062,79,5.3,94.4,0.2
NJ,Warren (County),185,1954,8,8.6,91,0.4
NM,Bernalillo (County),,385,,,100,
