state,county,total_Eligible,total_Other,"total_Ineligible, Ownership Not Verified",percent_Eligible,percent_Other,"percent_Ineligible, Ownership Not Verified"
CO,Jefferson (County),114,881,7,11.4,87.9,0.7
CO,Kit Carson (County),,1,,,100,
CO,La Plata (County),,6,,,100,
CO,Larimer (County),761,3086,58,19.5,79,1.5
CO,Logan (County),24,290,2,7.6,91.8,0.6
CO,Mesa (County),,25,,,100,
CO,Moffat (County),,2,,,100,
CO,Montezuma (County),,2,,,100,
CO,Montrose (County),,5,,,100,
CO,Morgan (County),11,52,2,16.9,80,3.1
CO,Otero (County),,3,,,100,
CO,Park (County),,1,,,100,
CO,Phillips (County),,2,,,100,
CO,Pitkin (County),,1,,,100,
CO,Prowers (County),,2,,,100,
CO,Pueblo (County),,89,,,100,
CO,San Miguel (County),,1,,,100,
CO,Summit (County),,2,,,100,
CO,Weld (County),311,1731,21,15.1,83.9,1
CO,Yuma (County),,5,,,100,
CT,"Fairfield (County)(in PMSA 1160,1930,5760,8040)",1507,9837,66,13.2,86.2,0.6
CT,"Hartford (County)(in PMSA 1170,3280,5440)",147,1938,10,7,92.5,0.5
CT,"Litchfield (County)(in (P)MSA 1170,1930,3280,8880)",56,401,5,12.1,86.8,1.1
CT,Mashantucket Pequot Indian Reservation,,9,,,100,
CT,"Middlesex (County)(in (P)MSA 3280,5020,5480)",126,1078,14,10.3,88.5,1.1
CT,"New Haven (County)(in (P)MSA 1160,5480,8880)",999,5774,54,14.6,84.6,0.8
CT,"New London (County)(in (P)MSA 3280,5520)",391,3924,18,9,90.6,0.4
CT,Tolland (County),11,214,2,4.8,94.3,0.9
CT,Windham (County),25,603,3,4,95.6,0.5
DC,District of Columbia (County-equivalent),,521,,,100,
DE,Kent (County),,96,,,100,
DE,New Castle (County),,261,,,100,
DE,Sussex (County),,149,,,100,
FL,Alachua (County),2635,19229,195,11.9,87.2,0.9
FL,Baker (County),558,2530,87,17.6,79.7,2.7
FL,Bay (County),11677,46710,1003,19.7,78.6,1.7
FL,Big Cypress Indian Reservation,1,217,,0.5,99.5,
FL,Bradford (County),644,3398,73,15.7,82.6,1.8
FL,Brevard (County),7465,61235,672,10.8,88.3,1
FL,Brighton Indian Reservation,,72,,,100,
FL,Broward (County),41944,264535,961,13.6,86,0.3
FL,Calhoun (County),913,2999,165,22.4,73.6,4
FL,Charlotte (County),2153,12441,80,14.7,84.8,0.5
FL,Citrus (County),2879,12491,178,18.5,80.3,1.1
FL,Clay (County),2112,14204,88,12.9,86.6,0.5
FL,Collier (County),9397,62410,371,13,86.5,0.5
FL,Columbia (County),1653,8098,168,16.7,81.6,1.7
FL,DeSoto (County),737,3656,72,16.5,81.9,1.6
FL,Dixie (County),407,1825,79,17.6,79,3.4
FL,Duval (County),13934,103953,860,11.7,87.5,0.7
FL,Escambia (County),7447,27280,1324,20.7,75.7,3.7
FL,Flagler (County),1414,12575,98,10,89.3,0.7
FL,Fort Pierce Indian Reservation,,84,,,100,
FL,Franklin (County),260,1852,112,11.7,83.3,5
FL,Gadsden (County),579,6086,286,8.3,87.6,4.1
FL,Gilchrist (County),239,1327,33,14.9,83,2.1
FL,Glades (County),213,1508,38,12.1,85.7,2.2
FL,Gulf (County),1035,4186,131,19.3,78.2,2.4
FL,Hamilton (County),53,538,32,8.5,86.4,5.1
FL,Hardee (County),672,3355,44,16.5,82.4,1.1
FL,Hendry (County),955,7060,138,11.7,86.6,1.7
FL,Hernando (County),2455,14481,177,14.3,84.6,1
FL,Highlands (County),3152,20295,269,13.3,85.6,1.1
FL,Hillsborough (County),15383,114582,651,11.8,87.7,0.5
FL,Hollywood Indian Reservation,,319,,,100,
FL,Holmes (County),67,1137,68,5.3,89.4,5.3
FL,Immokalee Indian Reservation,,82,,,100,
FL,Indian River (County),1147,10677,119,9.6,89.4,1
FL,Jackson (County),2119,9205,472,18,78,4
FL,Jefferson (County),,3,,,100,
FL,Lafayette (County),263,755,12,25.5,73.3,1.2
FL,Lake (County),4771,33580,352,12.3,86.8,0.9
FL,Lee (County),18415,106712,559,14.7,84.9,0.4
FL,Leon (County),264,8234,125,3.1,95.5,1.4
FL,Levy (County),828,3760,72,17.8,80.7,1.5
FL,Liberty (County),146,1180,72,10.4,84.4,5.2
FL,Madison (County),,7,,,100,
FL,Manatee (County),4195,27521,241,13.1,86.1,0.8
FL,Marion (County),9623,38743,518,19.7,79.3,1.1
FL,Martin (County),828,7413,66,10,89.2,0.8
FL,Miami-Dade (County),88474,508704,1764,14.8,84.9,0.3
FL,Monroe (County),6387,33086,221,16.1,83.4,0.6
FL,Nassau (County),1037,6010,99,14.5,84.1,1.4
FL,Okaloosa (County),488,2270,208,16.5,76.5,7
FL,Okeechobee (County),528,4604,152,10,87.1,2.9
FL,Orange (County),20159,142180,754,12.4,87.2,0.5
FL,Osceola (County),2638,33916,211,7.2,92.3,0.6
FL,Palm Beach (County),21967,136588,635,13.8,85.8,0.4
FL,Pasco (County),7458,43621,424,14.5,84.7,0.8
FL,Pinellas (County),24946,122277,836,16.8,82.6,0.6
FL,Polk (County),13978,88637,1099,13.5,85.5,1.1
FL,Putnam (County),2673,12878,285,16.9,81.3,1.8
FL,Santa Rosa (County),1224,5248,305,18.1,77.4,4.5
FL,Sarasota (County),4585,26404,137,14.7,84.8,0.4
FL,Seminole (County),9808,47933,225,16.9,82.7,0.4
