GEOID,majority
26007,White
26009,White
26011,White
26013,White
26015,White
26017,White
26019,White
26021,White
26023,White
26025,White
26027,White
26029,White
26031,White
26033,White
26035,White
26037,White
26039,White
26041,White
26043,White
26045,White
26047,White
26049,White
26051,White
26053,White
26055,White
26057,White
26059,White
26061,White
26063,White
26065,White
26067,White
26069,White
26071,White
26073,White
26075,White
26077,White
26079,White
26081,White
26083,White
26085,White
26087,White
26089,White
26091,White
26093,White
26095,White
26097,White
26099,White
26101,White
26103,White
26105,White
26107,White
26109,White
26111,White
26113,White
26115,White
26117,White
26119,White
26121,White
26123,White
26125,White
26127,White
26129,White
26131,White
26133,White
26135,White
26137,White
26139,White
26141,White
26143,White
26145,White
26147,White
26149,White
26151,White
26153,White
26155,White
26157,White
26159,White
26161,White
26163,Non-White
26165,White
27001,White
27003,White
27005,White
27007,White
27009,White
27011,White
27013,White
27015,White
27017,White
27019,White
27021,White
27023,White
27025,White
27027,White
27029,White
27031,White
27033,White
27035,White
27037,White
27039,White
27041,White
27043,White
27045,White
27047,White
27049,White
27051,White
27053,White
27055,White
27057,White
27059,White
27061,White
27063,White
27065,White
27067,White
27069,White
27071,White
27073,White
27075,White
27077,White
27079,White
27081,White
27083,White
27085,White
27087,Non-White
27089,White
27091,White
27093,White
27095,White
27097,White
27099,White
27101,White
27103,White
27105,White
27107,White
27109,White
27111,White
27113,White
27115,White
27117,White
27119,White
27121,White
27123,White
27125,White
27127,White
27129,White
27131,White
27133,White
27135,White
27137,White
27139,White
27141,White
27143,White
27145,White
27147,White
27149,White
27151,White
27153,White
27155,White
27157,White
27159,White
27161,White
27163,White
27165,White
27167,White
27169,White
27171,White
27173,White
28001,Non-White
28003,White
28005,White
28007,White
28009,White
28011,Non-White
28013,White
28015,White
28017,Non-White
28019,White
28021,Non-White
28023,White
28025,Non-White
28027,Non-White
28029,Non-White
28031,White
28033,White
28035,White
28037,White
28039,White
28041,White
28043,White
28045,White
28047,White
28049,Non-White
28051,Non-White
28053,Non-White
28055,Non-White
28057,White
28059,White
28061,Non-White
28063,Non-White
28065,Non-White
28067,White
28069,Non-White
28071,White
28073,White
28075,White
28077,White
28079,Non-White
28081,White
28083,Non-White
28085,White
28087,White
28089,White
28091,White
28093,Non-White
28095,White
28097,White
28099,White
28101,White
28103,Non-White
28105,White
28107,Non-White
28109,White
28111,White
28113,Non-White
28115,White
28117,White
28119,Non-White
28121,White
28123,Non-White
28125,Non-White
28127,White
28129,White
28131,White
28133,Non-White
28135,Non-White
28137,White
28139,White
28141,White
28143,Non-White
28145,White
28147,White
28149,Non-White
28151,Non-White
28153,White
28155,White
28157,Non-White
28159,Non-White
28161,White
28163,Non-White
29001,White
29003,White
29005,White
29007,White
29009,White
29011,White
29013,White
29015,White
29017,White
29019,White
29021,White
29023,White
29025,White
29027,White
29029,White
29031,White
29033,White
29035,White
29037,White
29039,White
29041,White
29043,White
29045,White
29047,White
29049,White
29051,White
29053,White
29055,White
29057,White
29059,White
29061,White
29063,White
29065,White
29067,White
29069,White
29071,White
29073,White
29075,White
29077,White
29079,White
29081,White
29083,White
29085,White
29087,White
29089,White
29091,White
29093,White
29095,White
29097,White
29099,White
29101,White
29103,White
29105,White
29107,White
29109,White
29111,White
29113,White
29115,White
29117,White
29119,White
29121,White
29123,White
29125,White
29127,White
29129,White
29131,White
29133,White
29135,White
29137,White
29139,White
29141,White
29143,White
29145,White
29147,White
29149,White
29151,White
29153,White
29155,White
29157,White
29159,White
29161,White
29163,White
29165,White
29167,White
29169,White
29171,White
29173,White
29175,White
29177,White
29179,White
29181,White
29183,White
29185,White
29186,White
29187,White
29189,White
29195,White
29197,White
29199,White
29201,White
29203,White
29205,White
29207,White
29209,White
29211,White
29213,White
29215,White
29217,White
29219,White
29221,White
29223,White
29225,White
29227,White
29229,White
29510,Non-White
30001,White
30003,Non-White
30005,Non-White
30007,White
30009,White
30011,White
30013,White
30015,White
30017,White
30019,White
30021,White
30023,White
30025,White
30027,White
30029,White
30031,White
30033,White
30035,Non-White
30037,White
30039,White
30041,White
30043,White
30045,White
30047,White
30049,White
30051,White
30053,White
30055,White
30057,White
30059,White
30061,White
30063,White
30065,White
30067,White
30069,White
30071,White
30073,White
30075,White
30077,White
30079,White
30081,White
30083,White
30085,Non-White
30087,White
30089,White
30091,White
30093,White
30095,White
30097,White
30099,White
30101,White
30103,White
30105,White
30107,White
