GEOID,plurality,majority,white,black,asian,american_indian,hispanic,urban_rural_code,urban_rural_cat
48391,Hispanic,Non-White,41.64,6.48,0.29,0,50.44,6,rural
48393,White,White,83.85,0,0,0,13.29,6,rural
48395,White,White,57.2,20.23,0.17,0.11,20.98,4,suburban
48397,White,White,70.83,6.22,2.66,0.05,17.64,2,urban
48399,White,White,61.47,3.01,0.11,0,34.16,6,rural
48401,White,White,63.75,16.77,0.52,0.06,16.82,4,suburban
48403,White,White,85.53,5.64,0.07,0.29,4.56,6,rural
48405,White,White,69.09,21.34,0,0,7.2,6,rural
48407,White,White,74.67,8.93,0.03,0.04,13.11,6,rural
48409,Hispanic,Non-White,38.39,1.46,0.99,0.05,57.79,3,suburban
48411,White,White,64.21,2.02,0.15,0,30.1,6,rural
48413,Hispanic,Non-White,46.13,0.54,0,0.37,52.97,6,rural
48415,White,White,52.76,4.63,0.3,0,40.38,5,rural
48417,White,White,85.44,0.21,0.24,0,11.53,6,rural
48419,White,White,61.58,18.95,0.45,0,18.32,6,rural
48421,White,White,53.45,1.14,0,0,44.59,6,rural
48423,White,White,59.73,17.22,1.68,0.09,19.5,4,suburban
48425,White,White,79.12,1.19,0.27,0.77,18.58,2,urban
48427,Hispanic,Non-White,0.69,0.04,0.02,0,99.17,5,rural
48429,White,White,71.09,2.83,0.33,0,23.74,6,rural
48431,Hispanic,Non-White,46.95,0,0,0,52.07,6,rural
48433,White,White,75.88,2.03,0,0,21.27,6,rural
48435,Hispanic,Non-White,34.1,0.08,0,0.16,65.64,6,rural
48437,White,Non-White,46.18,5.89,0.16,0.07,44.03,6,rural
48439,White,Non-White,46.72,16.14,5.37,0.19,28.81,1,urban
48441,White,White,63.45,7.73,2.11,0.03,24.41,4,suburban
48443,Hispanic,Non-White,39.4,1.12,0,0,56.7,6,rural
48445,Hispanic,Non-White,39.49,4.61,0,0,55,6,rural
48447,White,White,84.82,0.97,0,0,13.23,6,rural
48449,White,Non-White,45.17,8.93,0.99,0,43.04,5,rural
48451,White,White,53.27,3.99,1.2,0.07,39.89,4,suburban
48453,White,Non-White,48.96,7.86,6.62,0.03,33.81,1,urban
48455,White,White,78.37,9.95,0.03,0,9.99,5,rural
48457,White,White,79.02,10.64,0.33,0,7.7,6,rural
48459,White,White,80.38,8.14,0.31,0,8.59,4,suburban
48461,Hispanic,Non-White,39.14,5.85,0.71,0,53.73,6,rural
48463,Hispanic,Non-White,26.16,0.33,0.94,0,71.72,5,rural
48465,Hispanic,Non-White,15.25,1.3,0.7,0.02,81.95,5,rural
48467,White,White,83.71,2.8,0.49,0.09,10.91,6,rural
48469,Hispanic,Non-White,44.67,5.61,1.14,0.02,46.87,4,suburban
48471,White,White,56.4,23.03,1.26,0.01,17.94,5,rural
48473,White,Non-White,42.87,24.75,0.94,0.05,30.06,2,urban
48475,Hispanic,Non-White,40,4.02,0.95,0,53.66,6,rural
48477,White,White,64.01,16.39,1.66,0.11,16.06,5,rural
48479,Hispanic,Non-White,3.53,0.29,0.48,0.01,95.47,3,suburban
48481,White,Non-White,44.46,13.52,0.34,0,41.39,5,rural
48483,White,White,68.47,2.96,0.06,0,26,6,rural
48485,White,White,65.27,9.96,2.18,0.08,19.19,4,suburban
48487,White,White,58.13,9.59,0.94,0,29.11,5,rural
48489,Hispanic,Non-White,11.24,0.55,0,0,88.19,5,rural
48491,White,White,59.38,6.13,6.79,0.07,24.45,2,urban
48493,White,White,57.03,1.22,0.31,0.08,39.68,2,urban
48495,Hispanic,Non-White,35.12,2.25,0,0,60.96,6,rural
48497,White,White,76.75,1.27,0.51,0.18,19.34,2,urban
48499,White,White,82.46,4.92,0.64,0.08,10,6,rural
48501,Hispanic,Non-White,31.76,0.44,0.05,0,66.46,6,rural
48503,White,White,77.91,2.1,0.27,0,18.66,6,rural
48505,Hispanic,Non-White,4.6,0,0.78,0,94.39,5,rural
48507,Hispanic,Non-White,5.08,0.33,0.02,0,93.89,6,rural
49001,White,White,84.33,0,0.29,0,11.97,6,rural
49003,White,White,86.99,0.58,0.78,0.11,9.44,3,suburban
49005,White,White,83.64,0.74,2.04,0.35,10.72,4,suburban
49007,White,White,85.51,0.42,0.05,0.08,13.3,5,rural
49009,White,White,97.39,0.16,0,0,2.12,6,rural
49011,White,White,83.83,1.26,1.74,0.67,9.67,3,suburban
49013,White,White,85.18,0.41,0.53,0.32,8.19,6,rural
49015,White,White,91.05,0.02,0.67,0.27,6.35,6,rural
49017,White,White,88.76,0.06,0.08,0.14,6.12,6,rural
49019,White,White,82.38,0.32,1.61,0.56,10.31,6,rural
49021,White,White,85.85,0.53,0.79,0.13,8.71,5,rural
49023,White,White,91.57,0.23,0,0.09,5.22,3,suburban
49025,White,White,91.22,0.01,0.32,0.11,4.68,6,rural
49027,White,White,83,0.16,1.15,0.12,12.93,6,rural
49029,White,White,94.96,0.77,0.09,0.15,2.9,3,suburban
49031,White,White,96.73,0.16,0,0,2.52,6,rural
49033,White,White,89.28,0,0,0,10.72,6,rural
49035,White,White,71.05,1.8,4.03,1.41,18.35,1,urban
49037,White,Non-White,43.82,0.15,0.5,0.28,5.69,6,rural
49039,White,White,85.95,0.72,1.03,0.53,9.56,6,rural
49041,White,White,91.7,0.61,0.05,0.06,5.17,6,rural
49043,White,White,84.32,0.79,1.76,0.03,11.45,5,rural
49045,White,White,83.13,0.42,0.77,0.62,12.36,2,urban
49047,White,White,81.63,0.4,0.46,0.07,8.42,5,rural
49049,White,White,82.33,0.53,1.49,0.87,11.78,3,suburban
49051,White,White,83.56,0.14,1.16,0.02,13.35,5,rural
49053,White,White,84.31,0.65,0.79,0.79,10.47,4,suburban
49055,White,White,90.74,0.22,0.3,1.56,6.25,6,rural
49057,White,White,76.05,0.98,1.13,0.23,18.35,3,suburban
50001,White,White,92.55,1.21,1.75,0.04,2.31,6,rural
50003,White,White,94.12,0.55,1.01,0.26,2.01,5,rural
50005,White,White,94.84,0.79,0.41,0,1.6,6,rural
50007,White,White,88.51,2.59,4,0.05,2.34,4,suburban
50009,White,White,95.35,0.98,0.48,0,1.39,5,rural
50011,White,White,93.88,0.53,0.55,0,1.58,4,suburban
50013,White,White,92.81,0.83,0.51,0,1.99,4,suburban
50015,White,White,94.52,0.87,0.81,0,1.8,6,rural
50017,White,White,95.57,0.69,0.23,0.1,1.34,5,rural
50019,White,White,95.07,0.56,0.29,0.03,1.51,6,rural
50021,White,White,95.3,0.86,1.14,0,1.47,5,rural
50023,White,White,94.19,0.85,0.83,0.06,1.95,5,rural
50025,White,White,93.09,1.09,1.01,0.03,2.33,6,rural
50027,White,White,94.65,0.71,0.87,0.04,1.68,5,rural
51001,White,White,60.03,28.56,0.81,0,8.96,6,rural
51003,White,White,76.96,9.47,5.16,0.04,5.77,4,suburban
51005,White,White,91.46,5.81,0.11,0,1.48,6,rural
51007,White,White,73.6,21.19,0,0,3.01,2,urban
51009,White,White,74.69,17.91,0.51,0.06,2.41,3,suburban
51011,White,White,76.73,19.7,0.08,0,1.66,3,suburban
51013,White,White,61.49,8.88,10.2,0.09,15.58,1,urban
51015,White,White,90.73,4.14,0.61,0.12,2.82,4,suburban
51017,White,White,89.18,3.02,0.35,0,3.69,6,rural
51019,White,White,87.71,6.87,1.15,0.01,2.19,3,suburban
51021,White,White,93.86,3.73,0.16,0,1.27,6,rural
51023,White,White,92.88,2.96,0.67,0,1.7,3,suburban
51025,Black,Non-White,40.74,54.15,0.51,0,2.24,6,rural
51027,White,White,94.85,2.7,1.03,0,0.49,6,rural
51029,White,White,61.19,34.17,0.16,0,2.41,4,suburban
51031,White,White,79.57,13.99,0.88,0.02,2.52,3,suburban
51033,White,White,63.22,26.79,0.9,0,4.83,2,urban
51035,White,White,94.5,0.55,0.06,0,3.53,6,rural
51036,Black,Non-White,42.34,45.14,0.86,0,1.87,2,urban
51037,White,White,67.87,28,0.4,0,2.16,6,rural
