GEOID,plurality,majority,white,black,asian,american_indian,hispanic,urban_rural_code,urban_rural_cat,poverty_estimate,population,pctpov,poverty_quantile
13103,White,White,78.28,13.16,0.88,0.05,4.44,3,suburban,4977,58142,8.560077052732964,1
13105,White,White,63.51,29.6,0.43,0,5.7,6,rural,3697,18922,19.53810379452489,4
13107,White,White,59.27,33.87,0.15,0,4.5,6,rural,5851,21680,26.988007380073803,4
13109,White,White,56.26,29.64,0.91,0,11.72,6,rural,2782,10204,27.263818110544886,4
13111,White,White,94.89,0.25,0.37,0.11,2.36,6,rural,3324,24584,13.520989261308166,2
13113,White,White,62.2,22.51,4.4,0.13,7.23,2,urban,6190,110523,5.600644209802485,1
13115,White,White,70.76,13.87,1.27,0,11.07,4,suburban,17670,92699,19.061694300909394,3
13117,White,White,71.7,3.32,12.91,0.02,9.5,2,urban,12863,219072,5.8715855974291555,1
13119,White,White,83.46,9.31,0.94,0,4.59,6,rural,5434,21913,24.798065075525944,4
13121,Black,Non-White,39.64,43.61,7.03,0.02,7.22,1,urban,149412,989542,15.099106455309627,3
13123,White,White,85.87,0.41,0.45,0.01,11.58,6,rural,4842,29660,16.325016857720836,3
13125,White,White,87.38,10.21,0,0.03,1.23,6,rural,536,2926,18.318523581681475,3
13127,White,White,63.56,26.07,1.27,0.12,6.62,4,suburban,15105,82574,18.29268292682927,3
13129,White,White,77.52,3.74,1.02,0.07,15.84,5,rural,11232,56084,20.027102203837103,4
13131,White,White,57.97,28.87,0.56,0,11.46,6,rural,5774,24622,23.450572658598002,4
13133,White,White,57.52,35,1.14,0.02,6.05,6,rural,3736,16786,22.25664244012868,4
13135,White,Non-White,37.29,27.02,11.6,0.02,21.17,2,urban,101831,895764,11.368061230413367,2
13137,White,White,77.29,3.19,1.94,0.18,14.79,5,rural,6041,41670,14.497240220782338,2
13139,White,White,60.82,7.08,1.78,0.01,28.39,4,suburban,28319,193957,14.600658908933422,2
13141,Black,Non-White,24.31,73.13,0.36,0.14,1.67,5,rural,1426,5910,24.12859560067682,4
13143,White,White,90.87,5.07,0.41,0,1.7,2,urban,4422,28453,15.54141918251151,3
13145,White,White,76.88,16.09,1.03,0.01,3.56,3,suburban,2261,33018,6.847779998788539,1
13147,White,White,74.81,19.24,0.93,0,3.65,6,rural,4295,24681,17.402050160042137,3
13149,White,White,84.76,8.73,0.53,0.09,2.74,2,urban,1787,11430,15.63429571303587,3
13151,Black,Non-White,43.42,43.43,3.29,0,6.82,2,urban,22810,219729,10.380969284891844,1
13153,White,White,56.25,30.7,3.22,0.01,6.53,4,suburban,23412,149528,15.657268203948425,3
13155,White,White,66.78,28.29,0.41,0,3.83,6,rural,2413,9104,26.504833040421794,4
13157,White,White,81.35,6.63,1.78,0.06,7.66,5,rural,7168,65060,11.017522287119581,1
13159,White,White,74.21,20.39,0.29,0,3.92,2,urban,2415,13532,17.846585870529115,3
13161,White,White,70.85,16.41,0.23,0,12.12,6,rural,3070,14929,20.56400294728381,4
13163,Black,Non-White,42.01,53.11,0.31,0,3.84,6,rural,3791,15294,24.78749836537204,4
13165,White,White,54.67,34.91,1.11,0,8.17,6,rural,2561,8752,29.261882998171846,4
13167,White,White,62.4,33.15,0.22,0,2.47,5,rural,2131,9421,22.61967943954994,4
13169,White,White,71.43,24.56,0.75,0,1.67,4,suburban,4238,28247,15.003363189011223,3
13171,White,White,65.16,29.4,0.48,0,2.45,2,urban,3471,17159,20.22845154146512,4
13173,White,White,68.61,24.39,0.2,0,5.72,4,suburban,2377,9981,23.815248973048792,4
13175,White,White,57.22,37.22,1.13,0.02,2.71,5,rural,12376,46333,26.71098353225563,4
13177,White,White,71.64,20.7,2.45,0.12,2.98,4,suburban,3907,28308,13.801752154867883,2
13179,Black,Non-White,38.87,40.1,1.96,0.5,12.61,4,suburban,10043,59942,16.75452937839912,3
13181,White,White,66.18,30.97,0,0.03,1.82,3,suburban,1506,7728,19.487577639751553,4
13183,White,White,57.89,24.82,0.97,0.44,11.28,4,suburban,3587,17942,19.99219707947832,4
13185,White,White,53.78,36.36,1.74,0.07,5.66,4,suburban,27819,110478,25.180578938793246,4
13187,White,White,90.56,2.04,0.82,0.14,4.84,6,rural,5249,30533,17.191235712180266,3
13189,White,White,53.52,39.9,0.44,1.23,3.06,3,suburban,5291,21208,24.948132780082986,4
13191,White,White,62.1,35.42,1.33,0.13,0.28,4,suburban,2777,13923,19.945414063061122,4
13193,Black,Non-White,32.33,61.47,0.39,0.01,4.29,6,rural,3129,11500,27.208695652173915,4
13195,White,White,81.85,10.64,0.38,0,5.46,4,suburban,4990,28620,17.435359888190078,3
13197,White,White,59.23,30.46,0.91,0.62,7.28,3,suburban,1755,8356,21.002872187649594,4
13199,White,White,56.35,39.74,0.25,0,2.2,2,urban,4503,20951,21.49300749367572,4
13201,White,White,67.98,30.31,0,0.29,0.43,6,rural,1301,5658,22.99399080947331,4
13205,Black,Non-White,45.85,46.36,0.2,0.05,4.58,6,rural,4811,20036,24.011778798163306,4
13207,White,White,72.41,23.2,0.91,0,2.32,4,suburban,3615,25979,13.915085261172486,2
13209,White,White,65.33,25.75,0.18,0,6.59,5,rural,1701,8230,20.668286755771568,4
13211,White,White,71.95,22.79,0.07,0,3.21,2,urban,1883,17855,10.546065527863343,1
13213,White,White,82.54,1.04,0.34,0,15.04,4,suburban,6017,39016,15.421878203813822,3
13215,Black,Non-White,40.35,45.61,2.46,0.14,7.61,3,suburban,40083,189538,21.147738184427396,4
13217,White,Non-White,46.44,44.33,1.06,0.08,5.58,2,urban,18822,105074,17.91308982241087,3
13219,White,White,84.14,5.23,3.68,0.07,5.29,4,suburban,2165,36773,5.887471786364996,1
13221,White,White,75.64,17.57,0.21,0,4.57,4,suburban,2216,14651,15.125247423384069,3
13223,White,White,71,18.49,0.87,0.04,6.34,2,urban,14599,154784,9.431853421542279,1
13225,White,Non-White,45.77,44.66,1.01,0.1,7.71,4,suburban,5392,25064,21.51292690711778,4
13227,White,White,86.62,1.03,0.43,0.05,3.09,2,urban,2928,30589,9.572068390597927,1
13229,White,White,84.03,9.35,0,0,5.05,5,rural,4120,19016,21.665965502734537,4
13231,White,White,86.91,8.94,0.51,0,1.63,2,urban,2320,17705,13.103643038689636,2
13233,White,White,72.01,11.94,0.37,0.02,13.08,5,rural,7367,41157,17.899749738805063,3
13235,White,White,57.39,37.7,0.27,0,3.13,4,suburban,2512,9712,25.86490939044481,4
13237,White,White,65.69,26.2,0.5,0,6.35,6,rural,3396,21237,15.990959175024722,3
13239,Black,Non-White,37.05,51.9,7.34,0.17,0.74,6,rural,517,2276,22.715289982425308,4
13241,White,White,87.7,1.9,1.13,0,8.01,6,rural,3121,16119,19.36224331534214,3
13243,Black,Non-White,34.65,62.4,0,0,1.41,6,rural,2536,6856,36.989498249708284,4
13245,Black,Non-White,34.53,55.58,1.78,0.21,4.92,3,suburban,44956,191959,23.419584390416702,4
13247,Black,Non-White,31.72,53.77,1.98,0.2,10.22,2,urban,13394,87960,15.22737608003638,3
13249,White,White,67.99,25.13,0,0,6.51,5,rural,1111,5211,21.320284014584534,4
13251,White,White,54.46,41.63,0.74,0,2.17,6,rural,3043,13617,22.347066167290887,4
13253,White,White,61.51,32.89,0.78,0,3.21,6,rural,2034,8335,24.403119376124774,4
13255,White,White,58.52,34.09,0.98,0,4.56,2,urban,13702,63426,21.603128054740957,4
13257,White,White,82.35,11.9,0.67,0.01,3.48,5,rural,4007,24786,16.16638424917292,3
13259,Black,Non-White,23.38,52.42,3.23,0,18.75,6,rural,1478,3996,36.986986986986985,4
13261,Black,Non-White,39.38,52.12,1.36,0,5.69,5,rural,7860,28276,27.79742537841279,4
13263,Black,Non-White,40.69,57.73,0.55,0,0.6,6,rural,1204,6320,19.050632911392405,3
13265,Black,Non-White,32.77,62.07,0.74,0,3.97,6,rural,466,1662,28.038507821901327,4
