geoid,white_percent19,diversity_index19
24003,0.6822458535731478,0.5776018116132915
24005,0.5727399645901418,0.6295302899880816
24009,0.7815672432822284,0.42330963476140604
24011,0.7554540228146086,0.4907680867546452
24013,0.8904823523097931,0.2596079810554277
24015,0.8511876901474374,0.33268227160203445
24017,0.40160448603758436,0.6714220627886158
24019,0.6287261186134794,0.587317918400466
24021,0.7348442061553881,0.5447174226784239
24023,0.9643577903198222,0.09068221048713165
24025,0.760809921418433,0.45433442535059254
24027,0.5201800191309529,0.7060035127012022
24029,0.7773853398853399,0.42793957481005696
24031,0.43819056471783274,0.831516439290052
24033,0.1270384187878988,0.7211990194468283
24035,0.8652683752417795,0.30381446306526194
24037,0.7409119244812539,0.4854656049476124
24039,0.5153717594931789,0.5928600645523612
24041,0.7782710468964404,0.4616630107419898
24043,0.7892531427162929,0.4270485442085875
24045,0.6297603838539483,0.5826702831346768
24047,0.8015840819086255,0.38567939429577225
24510,0.27491166309816234,0.5880229680284685
25001,0.8927239854610859,0.24990929498717873
25003,0.8810599169468064,0.2929941778959949
25005,0.8127717066788821,0.43481056847196753
25007,0.8555337338262476,0.3177028792902028
25009,0.7029371832236792,0.6679607591786596
25011,0.9069810278135937,0.24048758753430888
25013,0.6274293555274851,0.7505711829049213
25015,0.837013761240002,0.37069516085257426
25017,0.7185481140549785,0.5454473257498937
25019,0.8518087392550143,0.3282859956349298
25021,0.7490994907464911,0.47217035173770827
25023,0.8064963720374226,0.38963436239320026
25025,0.44872050765435817,0.8385831986963359
25027,0.7638329138234566,0.5317215356220601
26001,0.9577900125567468,0.10964373589930365
26003,0.8359742104688013,0.3157998677864826
26005,0.8843322455937939,0.32423556767166284
26007,0.9571178120617111,0.10874071249546025
26009,0.946737912608808,0.14457838395707634
26011,0.946449900464499,0.1394583869070677
26013,0.7262795392471203,0.4713722649959353
26015,0.9413115295672283,0.16459946162129757
26017,0.9006378237147468,0.2704115356984581
26019,0.9376099914845303,0.16356083392682697
26021,0.7490219485768784,0.4778944311061212
26023,0.9040516627214855,0.2562345026064612
26025,0.7752212916877775,0.44847158522988073
26027,0.8612852512470159,0.3109763563425818
26029,0.9374140827860089,0.15539101261816746
26031,0.9205681013455032,0.17612187270179325
26033,0.696165191740413,0.511160921705256
26035,0.948125672898111,0.1364521999241527
26037,0.898939902282208,0.2613563784437445
26039,0.9452202706593723,0.1415803437927624
26041,0.9286626325431633,0.16046332662842744
26043,0.949329769251936,0.12644380777424225
26045,0.8283876626224236,0.3793915578955903
26047,0.9115816819719671,0.1952282550449813
26049,0.7244082133006435,0.4743311442539463
26051,0.9578306103880692,0.11305203001025921
26053,0.9010025894694907,0.20945736484675415
26055,0.92593918486456,0.19014233059714647
26057,0.8602747091602307,0.34210318802428463
26059,0.9465655528115917,0.1445296949217495
26061,0.9207374549487108,0.17866546243936288
26063,0.9519282911735621,0.13630945962335728
26065,0.6961873724564416,0.570608513347796
26067,0.8828771384136859,0.2894483308150413
26069,0.9379688058102155,0.15893017181402547
26071,0.9438665710186513,0.1453869904515963
26073,0.8538224309642373,0.3247455844985824
26075,0.8464346050076905,0.3267995710408095
26077,0.7738529753182743,0.44670265706338563
26079,0.9413136195621268,0.14871335795867624
26081,0.7374656892771566,0.551349712276725
26083,0.9677877783041212,0.07825646271574171
26085,0.8498143773202835,0.3084396382788611
26087,0.9177059905949704,0.23266690154023562
26089,0.9000554221319047,0.2566611743455175
26091,0.8666612455657088,0.3586377773960715
26093,0.9434214825510925,0.1522131572063139
26095,0.7767434521931209,0.43011336153270874
26097,0.7312615955473099,0.4585236892004516
26099,0.7902990262258351,0.3928976106376464
26101,0.8898474874269126,0.2555528928604587
26103,0.9208529526437333,0.17706077076802296
26105,0.9145886578711059,0.23623321459817048
26107,0.9121407597512197,0.2043604898630702
26109,0.928924330415186,0.16737249856393854
26111,0.9147621618379221,0.2072234091814501
26113,0.9396459941442641,0.1668688163698524
26115,0.9130417359594462,0.22334517285982358
